"s","id","birth"
"http://dbpedia.org/resource/Andrei_Tarkovsky",676,1932-04-04
"http://dbpedia.org/resource/Arthur_Schopenhauer",700,1788-02-22
"http://dbpedia.org/resource/Andy_Warhol",864,1928-08-06
"http://dbpedia.org/resource/Allen_Ginsberg",1017,1926-06-03
"http://dbpedia.org/resource/Albert_Schweitzer",1029,1875-01-14
"http://dbpedia.org/resource/Amitabh_Bachchan",1828,1942-10-11
"http://dbpedia.org/resource/Alexis_Korner",2282,1928-04-19
"http://dbpedia.org/resource/Arthur_Miller",2310,1915-10-17
"http://dbpedia.org/resource/Arthur_Laurents",2999,1917-07-14
"http://dbpedia.org/resource/Alan_Jay_Lerner",3010,1918-08-31
"http://dbpedia.org/resource/Albert_Brooks",3075,1947-07-22
"http://dbpedia.org/resource/Adolphe_Sax",3132,1814-11-06
"http://dbpedia.org/resource/Arlo_Guthrie",3273,1947-07-10
"http://dbpedia.org/resource/Bill_Clinton",3356,1946-08-19
"http://dbpedia.org/resource/Björn_Ulvaeus",3740,1945-04-25
"http://dbpedia.org/resource/Brigitte_Bardot",3845,1934-09-28
"http://dbpedia.org/resource/Benjamin_Franklin",3986,1705-01-06
"http://dbpedia.org/resource/Bing_Crosby",4010,1903-05-03
"http://dbpedia.org/resource/Buddy_Holly",4408,1936-09-07
"http://dbpedia.org/resource/Bill_Haley",4528,1925-07-06
"http://dbpedia.org/resource/Blind_Willie_McTell",4544,1898-05-05
"http://dbpedia.org/resource/Blind_Lemon_Jefferson",4569,1893-09-24
"http://dbpedia.org/resource/Bill_Oddie",4622,1941-07-07
"http://dbpedia.org/resource/Brownie_McGhee",4737,1915-11-30
"http://dbpedia.org/resource/Bob_Wills",4833,1905-03-06
"http://dbpedia.org/resource/Barış_Manço",4836,1943-07-22
"http://dbpedia.org/resource/Barney_Bubbles",4930,1942-07-30
"http://dbpedia.org/resource/Bo_Diddley",5033,1928-12-30
"http://dbpedia.org/resource/Charlie_Chaplin",5142,1889-04-16
"http://dbpedia.org/resource/Carlo_Goldoni",5790,1707-02-25
"http://dbpedia.org/resource/Colette",6928,1873-01-28
"http://dbpedia.org/resource/Charles_Evers",7131,1922-09-11
"http://dbpedia.org/resource/Chris_Sarandon",7180,1942-07-24
"http://dbpedia.org/resource/Cem_Karaca",7516,1945-04-05
"http://dbpedia.org/resource/Chaim_Topol",7585,1935-09-09
"http://dbpedia.org/resource/Charles_Mingus",7668,1922-04-22
"http://dbpedia.org/resource/Chuck_Jones",7672,1912-09-21
"http://dbpedia.org/resource/Chet_Atkins",7756,1924-06-20
"http://dbpedia.org/resource/David_Lynch",7891,1946-01-20
"http://dbpedia.org/resource/Donald_Knuth",8095,1938-01-10
"http://dbpedia.org/resource/Dave_Brubeck",8176,1920-12-06
"http://dbpedia.org/resource/Doris_Day",8300,1922-04-03
"http://dbpedia.org/resource/David_Mamet",8351,1947-11-30
"http://dbpedia.org/resource/Dave_Barry",8432,1947-07-03
"http://dbpedia.org/resource/Dwight_L._Moody",8459,1837-02-05
"http://dbpedia.org/resource/Dolly_Parton",8716,1946-01-19
"http://dbpedia.org/resource/Dylan_Thomas",8783,1914-10-27
"http://dbpedia.org/resource/David_Bowie",8786,1947-01-08
"http://dbpedia.org/resource/Dr._Seuss",8855,1904-03-02
"http://dbpedia.org/resource/Don_McLean",8987,1945-10-02
"http://dbpedia.org/resource/Danny_Kaye",9002,1911-01-18
"http://dbpedia.org/resource/Django_Reinhardt",9039,1910-01-23
"http://dbpedia.org/resource/Davy_Jones_(musician)",9141,1945-12-30
"http://dbpedia.org/resource/Elvis_Presley",9288,1935-01-08
"http://dbpedia.org/resource/Edvard_Grieg",9514,1843-06-15
"http://dbpedia.org/resource/Edwin_Austin_Abbey",9700,1852-04-01
"http://dbpedia.org/resource/Edna_St._Vincent_Millay",9824,1892-02-22
"http://dbpedia.org/resource/Eric_Clapton",10049,1945-03-30
"http://dbpedia.org/resource/Emma_Abbott",10120,1850-12-09
"http://dbpedia.org/resource/E._T._A._Hoffmann",10151,1776-01-24
"http://dbpedia.org/resource/Ennio_Morricone",10277,1928-11-10
"http://dbpedia.org/resource/Elie_Wiesel",10518,1928-09-30
"http://dbpedia.org/resource/Francis_Ford_Coppola",10576,1939-04-07
"http://dbpedia.org/resource/Friedrich_Nietzsche",10671,1844-10-15
"http://dbpedia.org/resource/Frank_Zappa",10672,1940-12-21
"http://dbpedia.org/resource/Francis_Scott_Key",10937,1779-08-01
"http://dbpedia.org/resource/Francis_Hopkinson",11022,1737-10-02
"http://dbpedia.org/resource/Frank_Sinatra",11181,1915-12-12
"http://dbpedia.org/resource/Frederik_Pohl",11736,1919-11-26
"http://dbpedia.org/resource/Forrest_J_Ackerman",11740,1916-11-24
"http://dbpedia.org/resource/Filippo_Tommaso_Marinetti",11801,1876-12-22
"http://dbpedia.org/resource/Gheorghe_Zamfir",12248,1941-04-06
