"s","id","birth"
"http://dbpedia.org/resource/Barbara_Ployer",8303521,1765-09-02
"http://dbpedia.org/resource/Byron_Lee",8304515,1935-06-27
"http://dbpedia.org/resource/Sue_Thompson",8306149,1925-07-19
"http://dbpedia.org/resource/Annette_Richardson_Dinwoodey",8309717,1906-02-17
"http://dbpedia.org/resource/Narciso_Martínez",8309789,1911-10-29
"http://dbpedia.org/resource/Barbara_McNair",8317661,1934-03-04
"http://dbpedia.org/resource/Justine_Ward",8317719,1879-08-07
"http://dbpedia.org/resource/Alice_Estes_Davis",8318200,1929-03-26
"http://dbpedia.org/resource/Walter_Kent",8322747,1911-11-29
"http://dbpedia.org/resource/Nina_van_Pallandt",8325985,1932-07-15
"http://dbpedia.org/resource/Ronnie_Aldrich",8328193,1916-02-15
"http://dbpedia.org/resource/Volodymyr_Kabachok",8330839,1892-07-15
"http://dbpedia.org/resource/John_Bassette",8334869,1941-12-28
"http://dbpedia.org/resource/Harry_Stewart",8338227,1908-10-21
"http://dbpedia.org/resource/Anna_Yesipova",8338538,1851-02-12
"http://dbpedia.org/resource/Robert_Walker_(musician)",8342522,1937-02-19
"http://dbpedia.org/resource/Sima_Bina",8346100,1945-01-04
"http://dbpedia.org/resource/Robbie_Basho",8346677,1940-08-31
"http://dbpedia.org/resource/Cledus_Maggard_&_the_Citizen's_Band",8347864,1940-09-21
"http://dbpedia.org/resource/Hryhory_Bazhul",8348018,1906-01-22
"http://dbpedia.org/resource/Buster_Williams",8348278,1942-04-17
"http://dbpedia.org/resource/Piet_Römer",8348673,1928-04-02
"http://dbpedia.org/resource/Jean-Étienne_Marie",8348728,1917-11-22
"http://dbpedia.org/resource/Todd_Rhodes",8351774,1899-08-31
"http://dbpedia.org/resource/Farhad_Fakhreddini",8354265,1938-03-11
"http://dbpedia.org/resource/Klaus_Harmony",8355749,1941-01-21
"http://dbpedia.org/resource/Gus_Bivona",8358293,1915-11-25
"http://dbpedia.org/resource/Bill_Crow",8360228,1927-12-27
"http://dbpedia.org/resource/Victor_Hely-Hutchinson",8368770,1901-12-26
"http://dbpedia.org/resource/John_Lees_(musician)",8369089,1947-01-13
"http://dbpedia.org/resource/Anita_Morris",8379386,1943-03-14
"http://dbpedia.org/resource/Tanguito",8379942,1945-09-16
"http://dbpedia.org/resource/Alfred_Lennon",8382279,1912-12-14
"http://dbpedia.org/resource/Stainless_Stephen",8382583,1892-11-30
"http://dbpedia.org/resource/Nicola_Rossi-Lemeni",8383026,1920-11-06
"http://dbpedia.org/resource/Tito_Guízar",8384705,1908-04-08
"http://dbpedia.org/resource/Evelyn_Hoey",8384845,1910-12-15
"http://dbpedia.org/resource/James_Tim_Brymn",8385034,1874-10-05
"http://dbpedia.org/resource/Graciela_Naranjo",8387710,1916-12-25
"http://dbpedia.org/resource/Michael_S._Smith",8389001,1946-01-30
"http://dbpedia.org/resource/Sripada_Pinakapani",8391242,1913-08-03
"http://dbpedia.org/resource/Karin_Krog",8394156,1937-05-15
"http://dbpedia.org/resource/Guitar_Shorty",8396290,1934-09-08
"http://dbpedia.org/resource/Tony_Hiller",8401495,1927-07-30
"http://dbpedia.org/resource/Judith_Rodriguez",8405907,1936-02-13
"http://dbpedia.org/resource/Bill_McCutcheon",8414079,1924-05-23
"http://dbpedia.org/resource/Lisa_Ben",8414656,1921-11-07
"http://dbpedia.org/resource/Nedunuri_Krishnamurthy",8420365,1927-10-10
"http://dbpedia.org/resource/Eugene_Migliaro_Corporon",8425485,1946-04-26
"http://dbpedia.org/resource/Olle_Holmquist",8426778,1936-11-15
"http://dbpedia.org/resource/Monroe_Owsley",8428805,1900-08-11
"http://dbpedia.org/resource/Sickan_Carlsson",8429566,1915-08-12
"http://dbpedia.org/resource/Barbara_Lea",8434756,1929-04-10
"http://dbpedia.org/resource/Armando_Gallo",8440607,1944-01-24
"http://dbpedia.org/resource/Eua_Sunthornsanan",8440769,1910-01-21
"http://dbpedia.org/resource/Robert_Long_(singer)",8442972,1943-10-22
"http://dbpedia.org/resource/Gerry_Teifer",8443394,1922-05-28
"http://dbpedia.org/resource/Loren_Hightower",8444617,1927-12-02
"http://dbpedia.org/resource/Red_Simpson",8446976,1934-03-06
"http://dbpedia.org/resource/Earl_Young_(drummer)",8453355,1940-06-02
"http://dbpedia.org/resource/Virginia_Healey_Asher",8458292,1869-12-18
"http://dbpedia.org/resource/Leroy_Hutson",8459806,1945-06-04
"http://dbpedia.org/resource/Tyree_Glenn",8464740,1912-11-23
"http://dbpedia.org/resource/Lloyd_Arntzen",8465549,1927-09-19
"http://dbpedia.org/resource/Armando_Manzanero",8469101,1935-12-07
"http://dbpedia.org/resource/Sidney_De_Paris",8470389,1905-05-30
"http://dbpedia.org/resource/Thomas_Nassi",8470870,1892-03-02
"http://dbpedia.org/resource/Blaž_Lenger",8474264,1919-12-06
"http://dbpedia.org/resource/Sammy_White_(actor)",8474614,1894-05-28
"http://dbpedia.org/resource/Carol_Bruce",8476190,1919-11-15
"http://dbpedia.org/resource/Wayne_Cochran",8484125,1939-05-10
"http://dbpedia.org/resource/Juan_León_Mera",8486868,1832-06-28
"http://dbpedia.org/resource/Arturo_%22Zambo%22_Cavero",8488241,1940-11-29
"http://dbpedia.org/resource/Luis_Abanto_Morales",8488503,1923-08-25
"http://dbpedia.org/resource/Warner_Mack",8488847,1938-04-02
"http://dbpedia.org/resource/Elizabeth_Clephane",8494389,1830-06-18
"http://dbpedia.org/resource/Cecil_Payne",8495800,1922-12-14
"http://dbpedia.org/resource/Luis_Eduardo_Aute",8495942,1943-09-13
"http://dbpedia.org/resource/Paul_Atkinson_(guitarist)",8498065,1946-03-19
"http://dbpedia.org/resource/Attila_Zoller",8498778,1927-06-13
"http://dbpedia.org/resource/Robert_Gilbert_(musician)",8503941,1899-09-29
"http://dbpedia.org/resource/Erika_Morini",8508807,1904-01-05
"http://dbpedia.org/resource/İstemihan_Taviloğlu",8510595,1945-04-15
"http://dbpedia.org/resource/John_Sullivan_Dwight",8514464,1813-05-13
"http://dbpedia.org/resource/Rosie_Hamlin",8516655,1945-07-21
"http://dbpedia.org/resource/Richard_Shaw_Brown",8518739,1947-04-26
"http://dbpedia.org/resource/Santiago_Stevenson",8521093,1928-10-17
"http://dbpedia.org/resource/Joan_Tetzel",8524343,1921-06-21
"http://dbpedia.org/resource/John_Amis",8528113,1922-06-17
"http://dbpedia.org/resource/Chitragupt_(composer)",8529915,1917-11-16
"http://dbpedia.org/resource/Carey_Harrison",8530475,1944-02-19
"http://dbpedia.org/resource/Ben_Cauley",8533255,1947-10-03
"http://dbpedia.org/resource/Doug_Parkinson",8535230,1946-10-30
"http://dbpedia.org/resource/Knox_(musician)",8535819,1945-09-04
"http://dbpedia.org/resource/Lenny_Welch",8539590,1940-05-31
"http://dbpedia.org/resource/Razzy_Bailey",8540428,1939-02-14
"http://dbpedia.org/resource/Peter_Schidlof",8545188,1922-07-09
"http://dbpedia.org/resource/Joe_Sullivan",8547361,1906-11-04
"http://dbpedia.org/resource/Johnny_Kitagawa",8547520,1931-10-23
"http://dbpedia.org/resource/Mae_Boren_Axton",8547718,1914-09-14
"http://dbpedia.org/resource/Billy_Maxted",8548598,1917-01-21
"http://dbpedia.org/resource/Teddy_Powell",8549013,1905-03-01
"http://dbpedia.org/resource/Stanley_Drucker",8550069,1929-02-04
"http://dbpedia.org/resource/John_Pisano",8551114,1931-02-06
"http://dbpedia.org/resource/Jacques_Singer",8553504,1910-05-09
"http://dbpedia.org/resource/Zhou_Xinfang",8555446,1895-01-14
"http://dbpedia.org/resource/Rudy_Clark",8555696,1935-10-29
"http://dbpedia.org/resource/Çetin_Alp",8556385,1947-06-21
"http://dbpedia.org/resource/Robert_Grossman",8557417,1940-03-01
"http://dbpedia.org/resource/Sasha_Kolpakov",8561828,1943-02-15
"http://dbpedia.org/resource/Rusty_York",8563294,1935-05-24
"http://dbpedia.org/resource/Kenny_Sargent",8565025,1906-03-03
"http://dbpedia.org/resource/George_Wyle",8565063,1916-03-22
"http://dbpedia.org/resource/Dill_Jones",8565212,1923-08-19
"http://dbpedia.org/resource/Amiri_Baraka",8568334,1934-10-07
"http://dbpedia.org/resource/Augie_Meyers",8568367,1940-05-31
"http://dbpedia.org/resource/Eduardo_Hontiveros",8571031,1923-12-20
"http://dbpedia.org/resource/Dewey_Balfa",8576585,1927-03-20
"http://dbpedia.org/resource/Cameron_Brown_(musician)",8578133,1945-12-21
"http://dbpedia.org/resource/Henry_Halstead",8580660,1897-11-16
"http://dbpedia.org/resource/Sparkle_Moore",8581067,1936-11-06
"http://dbpedia.org/resource/Stefan_Borsch",8584100,1947-01-19
"http://dbpedia.org/resource/Braguinha_(composer)",8593706,1907-03-29
"http://dbpedia.org/resource/Apostolos_Nikolaidis_(singer)",8594280,1938-06-30
"http://dbpedia.org/resource/Henry_Ragas",8599233,1891-01-01
"http://dbpedia.org/resource/Nookala_Chinna_Satyanarayana",8599768,1923-08-04
"http://dbpedia.org/resource/Karl_Leister",8601641,1937-06-15
"http://dbpedia.org/resource/Kitty_White",8601685,1923-07-07
"http://dbpedia.org/resource/Ajjada_Adibhatla_Narayana_Dasu",8603898,1864-08-31
"http://dbpedia.org/resource/Ariel_Zilber",8605458,1943-09-23
"http://dbpedia.org/resource/Ingerid_Vardund",8605727,1927-04-24
"http://dbpedia.org/resource/Carol_Kidd",8607449,1945-10-19
"http://dbpedia.org/resource/Cesária_Évora",8611104,1941-08-27
"http://dbpedia.org/resource/Mohammad-Reza_Lotfi",8613248,1947-01-01
"http://dbpedia.org/resource/Henri_Dès",8613539,1940-12-14
"http://dbpedia.org/resource/Dwaram_Venkataswamy_Naidu",8613907,1893-11-08
"http://dbpedia.org/resource/Zola_Taylor",8614384,1938-03-17
"http://dbpedia.org/resource/Jimmy_Cavallo",8616358,1927-03-14
"http://dbpedia.org/resource/Munir_Niazi",8626029,1928-04-09
"http://dbpedia.org/resource/Pierre_Delanoë",8626975,1918-12-16
"http://dbpedia.org/resource/Louise_Homer",8630456,1871-04-30
"http://dbpedia.org/resource/Malaysia_Vasudevan",8630516,1944-06-15
"http://dbpedia.org/resource/Joseph_Kane",8630772,1894-03-19
"http://dbpedia.org/resource/Deborah_Eisenberg",8631269,1945-11-20
"http://dbpedia.org/resource/Glenn_Cornick",8639886,1947-04-23
"http://dbpedia.org/resource/Gustav_Lorentzen",8643902,1947-09-28
"http://dbpedia.org/resource/Don_Edwards_(cowboy_singer)",8645641,1939-03-20
"http://dbpedia.org/resource/Norman_Leyden",8646067,1917-10-17
"http://dbpedia.org/resource/Jimmy_Brown_(musician)",8646097,1926-08-08
"http://dbpedia.org/resource/Helen_Armstrong_(violinist)",8655371,1943-03-16
"http://dbpedia.org/resource/Krishnaveni_(actress)",8658592,1924-12-24
"http://dbpedia.org/resource/Roh_Ogura",8661000,1916-01-19
"http://dbpedia.org/resource/Jerry_Lawson_(musician)",8664840,1944-01-23
"http://dbpedia.org/resource/Alan_Kendall",8668511,1944-09-09
